"state","context"
1,"Alabama",32.806671,-86.791130
2,"Alaska",61.370716,-152.404419
4,"Arizona",33.729759,-111.431221
5,"Arkansas",34.969704,-92.373123
6,"California",36.116203,-119.681564
8,"Colorado",39.059811,-105.311104
9,"Connecticut",41.597782,-72.755371
10,"Delaware",39.318523,-75.507141
11,"Washington DC",38.897438,-77.026817
12,"Florida",27.766279,-81.686783
13,"Georgia",33.040619,-83.643074
15,"Hawaii",21.094318,-157.498337
16,"Idaho",44.240459,-114.478828
17,"Illinois",40.349457,-88.986137
18,"Indiana",39.849426,-86.258278
19,"Iowa",42.011539,-93.210526
20,"Kansas",38.526600,-96.726486
21,"Kentucky",37.668140,-84.670067
22,"Louisiana",31.169546,-91.867805,
23,"Maine",44.693947,-69.381927,
24,"Maryland",39.063946,-76.802101
25,"Massachusetts",42.230171,-71.530106
26,"Michigan",43.326618,-84.536095
27,"Minnesota",45.694454,-93.900192
28,"Mississippi",32.741646,-89.678696
29,"Missouri",38.456085,-92.288368
30,"Montana",46.921925,-110.454353
31,"Nebraska",41.125370,-98.268082
32,"Nevada",38.313515,-117.055374
33,"New Hampshire",43.452492,-71.563896
34,"New Jersey",40.298904,-74.521011
35,"New Mexico",34.840515,-106.248482
36,"New York",42.165726,-74.948051
37,"North Carolina",35.630066,-79.806419
38,"North Dakota",47.528912,-99.784012
39,"Ohio",40.388783,-82.764915
40,"Oklahoma",35.565342,-96.928917
41,"Oregon",44.572021,-122.070938
42,"Pennsylvania",40.590752,-77.209755
44,"Rhode Island",41.680893,-71.511780
45,"South Carolina",33.856892,-80.945007
46,"South Dakota",44.299782,-99.438828
47,"Tennessee",35.747845,-86.692345
48,"Texas",31.054487,-97.563461
49,"Utah",40.150032,-111.862434
50,"Vermont",44.045876,-72.710686
51,"Virginia",37.769337,-78.169968
53,"Washington",47.400902,-121.490494
54,"West Virginia",38.491226,-80.954453
55,"Wisconsin",44.268543,-89.616508
56,"Wyoming",42.755966,-107.302490